MSFT	Microsoft Corporation	2,968.42B	399.16	0.01%	227.58B
368	LANC	Lancaster Colony Corporation	5.15B	187.15	0.15%	1.87B
369	FRPT	Freshpet, Inc.	5.06B	104.64	-0.05%	766.90M
370	RCM	R1 RCM Inc.	5.04B	11.99	-	2.25B
371	ALGM	Allegro MicroSystems, Inc.	5.04B	26.02	-0.27%	1.08B
372	COOP	Mr. Cooper Group Inc.	5.03B	77.77	0.28%	1.79B
373	CIGI	Colliers International Group Inc.	4.98B	107.74	1.43%	4.34B
374	HALO	Halozyme Therapeutics, Inc.	4.92B	38.77	0.34%	829.25M
375	DJT	Trump Media & Technology Group Corp.	4.92B	35.58	-2.20%	4.13M
376	EXLS	ExlService Holdings, Inc.	4.90B	29.61	0.99%	1.63B
377	PEGA	Pegasystems Inc.	4.86B	57.97	0.62%	1.43B
378	HCP	HashiCorp, Inc.	4.83B	24.15	0.75%	583.14M
379	VRNS	Varonis Systems, Inc.	4.79B	43.77	0.99%	499.16M
380	ACT	Enact Holdings, Inc.	4.78B	30.03	0.87%	1.15B
381	SLM	SLM Corporation	4.77B	21.62	2.49%	1.46B
382	EEFT	Euronet Worldwide, Inc.	4.76B	104.07	1.00%	3.69B
383	BILI	Bilibili Inc.	4.74B	11.60	6.28%	3.18B
384	CRSP	CRISPR Therapeutics AG	4.73B	55.96	1.65%	371.21M
385	FELE	Franklin Electric Co., Inc.	4.71B	102.17	0.72%	2.07B
386	SRCL	Stericycle, Inc.	4.69B	50.81	1.80%	2.66B
387	NVMI	Nova Ltd.	4.69B	161.83	1.19%	517.92M
388	MARA	Marathon Digital Holdings, Inc.	4.69B	16.57	0.42%	387.51M
389	UBSI	United Bankshares, Inc.	4.68B	34.69	1.52%	1.02B
390	BCPC	Balchem Corporation	4.65B	144.34	0.60%	922.44M
391	COLM	Columbia Sportswear Company	4.65B	77.53	1.28%	3.49B
392	PTEN	Patterson-UTI Energy, Inc.	4.64B	11.38	-1.13%	4.15B
393	STNE	StoneCo Ltd.	4.63B	15.39	0.56%	2.48B
394	BBIO	BridgeBio Pharma, Inc.	4.56B	24.86	0.49%	9.30M
395	CRUS	Cirrus Logic, Inc.	4.56B	84.47	2.98%	1.79B
396	VERX	Vertex, Inc.	4.55B	29.56	3.32%	572.39M
397	WIRE	Encore Wire Corporation	4.53B	287.44	1.07%	2.57B
398	OLLI	Ollie's Bargain Outlet Holdings, Inc.	4.52B	73.68	0.64%	2.10B
399	KRYS	Krystal Biotech, Inc.	4.51B	159.61	0.68%	50.70M
400	NVEI	Nuvei Corporation	4.48B	32.11	0.12%	1.19B
401	MDGL	Madrigal Pharmaceuticals, Inc.	4.39B	209.82	-1.05%	-
402	LNTH	Lantheus Holdings, Inc.	4.38B	63.94	0.20%	1.30B
403	ESGR	Enstar Group Limited	4.37B	289.59	1.59%	1.43B
404	FFIN	First Financial Bankshares, Inc.	4.33B	30.36	1.17%	481.18M
405	AUR	Aurora Innovation, Inc.	4.31B	2.78	-0.71%	-
406	AVT	Avnet, Inc.	4.28B	47.36	1.49%	25.61B
407	ASO	Academy Sports and Outdoors, Inc.	4.27B	57.44	0.49%	6.16B
408	FIVN	Five9, Inc.	4.27B	58.32	2.15%	910.49M
409	ALPN	Alpine Immune Sciences, Inc.	4.23B	64.49	-0.09%	58.88M
410	DLO	DLocal Limited	4.22B	14.24	-2.13%	650.35M
411	FIZZ	National Beverage Corp.	4.21B	45.12	-0.51%	1.18B
412	MMSI	Merit Medical Systems, Inc.	4.21B	72.64	0.85%	1.26B
413	AVAV	AeroVironment, Inc.	4.20B	149.92	-0.07%	705.78M
414	BLKB	Blackbaud, Inc.	4.19B	78.24	2.29%	1.11B
415	ITRI	Itron, Inc.	4.17B	90.82	1.27%	2.17B
416	CVLT	Commvault Systems, Inc.	4.16B	95.12	0.26%	819.43M
417	CLSK	CleanSpark, Inc.	4.15B	18.48	7.44%	214.38M
418	IPAR	Inter Parfums, Inc.	4.15B	129.58	1.33%	1.32B
419	IAC	IAC Inc.	4.14B	48.14	0.28%	4.37B
420	IMVT	Immunovant, Inc.	4.12B	28.39	0.60%	-
421	IQ	iQIYI, Inc.	4.09B	4.28	4.65%	4.50B
422	NUVL	Nuvalent, Inc.	4.08B	64.24	2.36%	-
423	SATS	EchoStar Corporation	4.08B	15.10	3.78%	17.02B
424	EXPO	Exponent, Inc.	4.06B	80.39	1.54%	536.77M
425	WEN	The Wendy's Company	4.06B	19.73	2.49%	2.18B
426	UMBF	UMB Financial Corporation	4.05B	83.09	2.03%	1.42B
427	PECO	Phillips Edison & Company, Inc.	4.05B	33.14	0.36%	610.12M
428	CRVL	CorVel Corporation	4.04B	236.64	0.97%	773.52M
429	VLY	Valley National Bancorp	4.01B	7.90	2.40%	1.84B
430	ALKS	Alkermes plc	3.99B	23.94	0.38%	1.66B
431	FROG	JFrog Ltd.	3.98B	37.45	0.83%	349.89M
432	BRZE	Braze, Inc.	3.98B	39.46	1.34%	471.80M
433	VRRM	Verra Mobility Corporation	3.95B	23.75	1.11%	817.31M
434	HWC	Hancock Whitney Corporation	3.93B	45.14	1.97%	1.33B
435	IPGP	IPG Photonics Corporation	3.92B	85.02	0.89%	1.29B
436	FRHC	Freedom Holding Corp.	3.92B	65.27	-0.26%	1.40B
437	COLB	Columbia Banking System, Inc.	3.91B	18.77	2.48%	1.78B
438	BGC	BGC Group, Inc	3.90B	7.79	0.97%	2.03B
439	LOPE	Grand Canyon Education, Inc.	3.86B	128.62	1.16%	960.90M
440	RUSHB	Rush Enterprises, Inc.	3.81B	46.95	0.92%	7.93B
441	RUSHA	Rush Enterprises, Inc.	3.80B	48.81	0.21%	7.93B
442	SLAB	Silicon Laboratories Inc.	3.80B	118.94	3.26%	782.26M
443	SYM	Symbotic Inc.	3.79B	39.75	0.05%	1.34B
444	OMAB	Grupo Aeroportuario del Centro Norte, SAB de CV	3.69B	75.66	0.75%	612.67M
445	PAGP	Plains GP Holdings, L.P.	3.69B	18.68	-0.43%	48.71B
446	CSWI	CSW Industrials, Inc.	3.65B	235.55	1.58%	777.67M
447	CNXC	Concentrix Corporation	3.65B	55.19	-	7.88B
448	RARE	Ultragenyx Pharmaceutical Inc.	3.63B	44.10	4.08%	434.25M
449	CAR	Avis Budget Group, Inc.	3.61B	101.28	-0.36%	12.01B
450	INSM	Insmed Incorporated	3.61B	24.28	-0.16%	305.21M
451	POWI	Power Integrations, Inc.	3.60B	63.31	0.67%	444.54M
452	URBN	Urban Outfitters, Inc.	3.58B	38.35	3.70%	5.15B
453	BL	BlackLine, Inc.	3.57B	57.93	0.98%	590.00M
454	ALVO	Alvotech	3.55B	13.30	0.61%	93.38M
455	OTTR	Otter Tail Corporation	3.53B	84.52	0.32%	1.35B
456	IRTC	iRhythm Technologies, Inc.	3.50B	112.89	0.71%	492.68M
457	TRIP	Tripadvisor, Inc.	3.50B	25.33	1.14%	1.79B
458	TSEM	Tower Semiconductor Ltd.	3.49B	31.51	1.68%	1.42B
459	TIGO	Millicom International Cellular S.A.	3.48B	20.25	0.85%	5.66B
460	RDNT	RadNet, Inc.	3.48B	47.70	2.54%	1.62B
461	RELY	Remitly Global, Inc.	3.48B	18.44	-0.38%	944.29M
462	IBRX	ImmunityBio, Inc.	3.47B	5.12	-2.85%	622.00K
463	IBOC	International Bancshares Corporation	3.47B	55.76	2.46%	798.87M
464	ACIW	ACI Worldwide, Inc.	3.45B	32.38	1.35%	1.45B
465	RRR	Red Rock Resorts, Inc.	3.43B	57.92	0.92%	1.72B
466	TFSL	TFS Financial Corporation	3.42B	12.22	0.87%	301.59M
467	AXNX	Axonics, Inc.	3.42B	66.96	0.01%	366.38M
468	GT	The Goodyear Tire & Rubber Company	3.40B	11.93	0.42%	20.07B
469	AEIS	Advanced Energy Industries, Inc.	3.38B	90.58	0.98%	1.66B
470	CRNX	Crinetics Pharmaceuticals, Inc.	3.37B	43.30	0.77%	4.01M
471	LLYVA	Liberty Live Group - Series A	3.36B	35.60	-0.59%	-
472	LLYVK	Liberty Live Group - Series C	3.36B	37.10	-0.47%	-
473	AXSM	Axsome Therapeutics, Inc.	3.36B	70.98	4.54%	270.60M
474	CAMT	Camtek Ltd.	3.36B	74.57	-0.15%	315.38M
475	NCNO	nCino, Inc.	3.35B	29.36	-0.17%	476.54M
476	IRDM	Iridium Communications Inc.	3.35B	27.63	0.84%	789.30M
477	TXG	10x Genomics, Inc.	3.34B	27.98	0.14%	618.73M
478	ARCB	ArcBest Corporation	3.30B	140.49	1.78%	4.43B
479	SMPL	The Simply Good Foods Company	3.28B	33.01	-0.48%	1.27B
480	SANM	Sanmina Corporation	3.28B	58.90	1.92%	8.45B
481	PI	Impinj, Inc.	3.28B	118.57	1.93%	307.54M
482	PCH	PotlatchDeltic Corporation	3.26B	41.01	-0.44%	1.02B
483	ABCB	Ameris Bancorp	3.25B	47.07	1.71%	935.22M
484	ALRM	Alarm.com Holdings, Inc.	3.22B	64.52	0.63%	881.68M
485	MEOH	Methanex Corporation	3.22B	47.82	-0.20%	3.72B
486	FOLD	Amicus Therapeutics, Inc.	3.19B	10.78	1.56%	399.36M
487	PGNY	Progyny, Inc.	3.18B	32.99	0.89%	1.09B
488	IOVA	Iovance Biotherapeutics, Inc.	3.18B	11.39	0.71%	1.19M
489	FTRE	Fortrea Holdings Inc.	3.17B	35.43	-0.20%	3.11B
490	SYNA	Synaptics Incorporated	3.17B	80.38	-0.81%	1.03B
491	ACLS	Axcelis Technologies, Inc.	3.16B	96.73	2.05%	1.13B
492	VCTR	Victory Capital Holdings, Inc.	3.16B	48.93	3.08%	821.03M
493	SBRA	Sabra Health Care REIT, Inc.	3.14B	13.57	-0.70%	647.51M
494	FORM	FormFactor, Inc.	3.14B	40.51	-0.61%	663.10M
495	SEDG	SolarEdge Technologies, Inc.	3.13B	54.74	-1.91%	2.98B
496	SWTX	SpringWorks Therapeutics, Inc.	3.12B	42.44	5.82%	5.45M
497	BHF	Brighthouse Financial, Inc.	3.12B	49.55	1.31%	4.12B
498	SHC	Sotera Health Company	3.11B	10.98	0.23%	1.05B
499	DIOD	Diodes Incorporated	3.10B	67.50	0.91%	1.66B
500	NWE	NorthWestern Corporation	3.10B	50.51	0.76%	1.42B
501	WDFC	WD-40 Company	3.07B	226.28	-1.56%	561.69M
502	PYCR	Paycor HCM, Inc.	3.06B	17.17	1.18%	604.65M
503	TRMD	TORM plc	3.06B	32.83	0.31%	1.52B
504	UCBI	United Community Banks, Inc.	3.06B	25.68	1.70%	803.82M
505	IOSP	Innospec Inc.	3.06B	122.44	0.13%	1.95B
506	CCOI	Cogent Communications Holdings, Inc.	3.04B	64.08	1.25%	940.92M
507	CVCO	Cavco Industries, Inc.	3.02B	361.62	0.95%	1.85B
508	SGRY	Surgery Partners, Inc.	3.01B	23.74	-0.40%	2.74B
509	XENE	Xenon Pharmaceuticals Inc.	3.01B	39.93	0.13%	-
510	STRL	Sterling Infrastructure, Inc.	3.00B	97.01	0.46%	1.97B
511	QFIN	Qifu Technology Inc.	3.00B	18.39	2.05%	2.30B
512	BANF	BancFirst Corporation	2.99B	90.76	1.66%	602.41M
513	AMED	Amedisys, Inc.	2.98B	91.36	1.06%	2.24B
514	CALM	Cal-Maine Foods, Inc.	2.95B	60.19	0.17%	2.37B
515	VC	Visteon Corporation	2.95B	107.51	-0.60%	3.95B
516	SHOO	Steven Madden, Ltd.	2.95B	39.76	1.62%	1.98B
517	HCM	HUTCHMED (China) Limited	2.94B	16.95	2.73%	838.00M
518	ACVA	ACV Auctions Inc.	2.94B	17.25	-0.35%	481.23M
519	ARWR	Arrowhead Pharmaceuticals, Inc.	2.92B	23.68	6.05%	181.74M
520	SPT	Sprout Social, Inc.	2.92B	51.57	1.16%	333.64M
521	GBDC	Golub Capital BDC, Inc.	2.91B	16.98	1.04%	630.98M
522	NWL	Newell Brands Inc.	2.90B	7.01	1.82%	8.13B
523	LIVN	LivaNova PLC	2.90B	53.86	2.92%	1.15B
524	SRAD	Sportradar Group AG	2.90B	9.74	0.83%	975.13M
525	AZTA	Azenta, Inc.	2.86B	51.39	1.46%	641.02M
526	MGEE	MGE Energy, Inc.	2.84B	78.24	0.63%	690.43M
527	SKYW	SkyWest, Inc.	2.83B	70.32	1.71%	2.94B
528	IDYA	IDEAYA Biosciences, Inc.	2.83B	38.04	2.45%	23.39M
529	ACAD	ACADIA Pharmaceuticals Inc.	2.81B	17.00	1.07%	726.44M
530	CRDO	Credo Technology Group Holding Ltd	2.80B	17.32	2.36%	164.28M
531	IMCR	Immunocore Holdings plc	2.80B	56.25	1.01%	249.43M
532	APGE	Apogee Therapeutics, Inc.	2.79B	48.73	3.88%	-
533	TMDX	TransMedics Group, Inc.	2.78B	84.89	0.87%	241.62M
534	LITE	Lumentum Holdings Inc.	2.77B	41.20	-1.31%	1.44B
535	FLNC	Fluence Energy, Inc.	2.77B	15.45	2.32%	2.27B
536	DORM	Dorman Products, Inc.	2.76B	88.72	0.36%	1.93B
537	FHB	First Hawaiian, Inc.	2.76B	21.63	3.00%	810.31M
538	MQ	Marqeta, Inc.	2.75B	5.37	1.13%	676.17M
539	TCBI	Texas Capital Bancshares, Inc.	2.75B	59.00	0.55%	996.12M
540	ACLX	Arcellx, Inc.	2.75B	52.23	1.11%	110.32M
541	RPD	Rapid7, Inc.	2.75B	44.35	0.09%	777.71M
542	OLK	Olink Holding AB (publ)	2.74B	22.01	0.62%	169.60M
543	FIBK	First Interstate BancSystem, Inc.	2.72B	26.17	2.23%	993.60M
544	PSNY	Polestar Automotive Holding UK PLC	2.71B	1.28	-5.56%	2.83B
545	ARLP	Alliance Resource Partners, L.P.	2.71B	21.14	0.19%	2.57B
546	GO	Grocery Outlet Holding Corp.	2.71B	27.28	1.15%	3.97B
547	MLCO	Melco Resorts & Entertainment Limited	2.70B	6.17	0.33%	3.78B
548	MOR	MorphoSys AG	2.70B	17.92	-0.33%	264.75M
549	MYRG	MYR Group Inc.	2.68B	160.77	1.30%	3.64B
550	RIOT	Riot Blockchain, Inc.	2.68B	10.68	16.92%	280.68M
551	WSFS	WSFS Financial Corporation	2.67B	44.25	2.26%	926.90M
552	CATY	Cathay General Bancorp	2.67B	36.70	1.94%	784.06M
553	JJSF	J&J Snack Foods Corp.	2.67B	137.41	0.23%	1.56B
554	SBLK	Star Bulk Carriers Corp.	2.66B	23.45	1.82%	949.27M
555	KTOS	Kratos Defense & Security Solutions, Inc.	2.66B	17.85	-0.97%	1.04B
556	GLNG	Golar LNG Limited	2.66B	25.43	1.03%	298.43M
557	MGRC	McGrath RentCorp	2.65B	107.97	-2.20%	831.84M
558	ROAD	Construction Partners, Inc.	2.65B	50.04	0.01%	1.62B
559	PRCT	PROCEPT BioRobotics Corporation	2.63B	51.87	3.35%	136.19M
560	ICFI	ICF International, Inc.	2.63B	140.06	-0.15%	1.96B
561	EVO	Evotec SE	2.62B	7.39	4.53%	-
562	GDRX	GoodRx Holdings, Inc.	2.62B	6.64	-0.75%	750.27M
563	PTVE	Pactiv Evergreen Inc.	2.62B	14.66	0.96%	5.51B
564	GOGL	Golden Ocean Group Limited	2.62B	13.11	1.04%	885.77M
565	QDEL	QuidelOrtho Corporation	2.60B	38.97	-0.38%	3.00B
566	MLTX	MoonLake Immunotherapeutics	2.60B	41.66	-1.26%	-
567	CERT	Certara, Inc.	2.59B	16.22	1.79%	354.34M
568	PLXS	Plexus Corp.	2.59B	94.00	0.82%	4.10B
569	PENN	PENN Entertainment, Inc.	2.58B	16.97	2.60%	6.36B
570	APPN	Appian Corporation	2.58B	34.96	1.19%	545.36M
571	INDV	Indivior PLC	2.57B	18.36	-0.86%	1.09B
572	PLTK	Playtika Holding Corp.	2.56B	6.90	0.29%	2.57B
573	EGIO	Edgio, Inc.	2.56B	10.80	-2.88%	379.92M
574	KLIC	Kulicke and Soffa Industries, Inc.	2.55B	45.29	0.87%	737.45M
575	PINC	Premier, Inc.	2.54B	21.17	-0.07%	1.32B
576	FLYW	Flywire Corporation	2.53B	20.90	-0.95%	403.09M
577	JBLU	JetBlue Airways Corporation	2.51B	7.41	4.22%	9.62B
578	PSMT	PriceSmart, Inc.	2.51B	82.36	-0.59%	4.67B
579	NEOG	Neogen Corporation	2.51B	11.59	-0.17%	929.24M
580	CLDX	Celldex Therapeutics, Inc.	2.50B	38.96	2.58%	6.88M
581	HUBG	Hub Group, Inc.	2.49B	39.97	0.43%	4.20B
582	IDCC	InterDigital, Inc.	2.48B	97.31	0.70%	549.59M
583	FULT	Fulton Financial Corporation	2.47B	15.28	1.90%	1.03B
584	NMIH	NMI Holdings, Inc.	2.46B	30.52	1.63%	579.00M
585	SMMT	Summit Therapeutics Inc.	2.46B	3.52	0.57%	-
586	STRA	Strategic Education, Inc.	2.44B	99.04	0.95%	1.13B
587	SIMO	Silicon Motion Technology Corporation	2.43B	72.63	1.10%	945.92M
588	JAMF	Jamf Holding Corp.	2.42B	19.04	2.37%	560.57M
589	CARG	CarGurus, Inc.	2.42B	22.51	1.37%	914.24M
590	ARVN	Arvinas, Inc.	2.41B	35.32	1.73%	78.50M
591	FTDR	Frontdoor, Inc.	2.40B	30.70	0.75%	1.78B
592	AVDX	AvidXchange Holdings, Inc.	2.40B	11.74	2.53%	380.72M
593	RUM	Rumble Inc.	2.39B	6.19	-0.64%	80.96M
594	HELE	Helen of Troy Limited	2.38B	100.37	0.37%	2.00B
595	JANX	Janux Therapeutics, Inc.	2.38B	46.17	-5.18%	8.08M
596	PATK	Patrick Industries, Inc.	2.38B	106.16	2.67%	3.47B
597	STEP	StepStone Group Inc.	2.37B	36.17	2.35%	527.20M
598	OSIS	OSI Systems, Inc.	2.36B	138.52	2.20%	1.37B
599	MRUS	Merus N.V.	2.36B	40.95	2.85%	43.95M
600	SFNC	Simmons First National Corporation	2.35B	18.73	1.79%	763.66M
601	CMPR	Cimpress plc	2.35B	88.52	1.62%	3.21B
602	IESC	IES Holdings, Inc.	2.35B	116.35	0.73%	2.44B
603	WAFD	WaFd Inc	2.33B	28.55	2.31%	673.02M
604	ALKT	Alkami Technology, Inc.	2.33B	24.15	1.53%	264.83M
605	ZD	Ziff Davis, Inc.	2.33B	50.65	-1.85%	1.36B
606	RYTM	Rhythm Pharmaceuticals, Inc.	2.33B	38.68	1.76%	77.43M
607	CORT	Corcept Therapeutics Incorporated	2.33B	22.48	-2.05%	482.38M
608	DRVN	Driven Brands Holdings Inc.	2.33B	14.18	0.50%	2.30B
609	BLMN	Bloomin' Brands, Inc.	2.33B	26.75	-1.07%	4.67B
610	BATRK	Atlanta Braves Holdings Inc	2.32B	37.64	0.97%	640.67M
611	PDCO	Patterson Companies, Inc.	2.31B	25.79	-0.88%	6.57B
612	BATRA	Atlanta Braves Holdings Inc	2.30B	40.51	0.53%	640.67M
613	ATAT	Atour Lifestyle Holdings Limited	2.30B	17.57	1.91%	658.11M
614	CVBF	CVB Financial Corp.	2.30B	16.51	-0.72%	545.32M
615	CGON	CG Oncology, Inc.	2.30B	34.48	-2.43%	204.00K
616	EBC	Eastern Bankshares, Inc.	2.30B	13.04	1.72%	292.60M
617	AGYS	Agilysys, Inc.	2.30B	83.81	2.48%	228.14M
618	STAA	STAAR Surgical Company	2.29B	46.94	1.19%	322.42M
619	CENTA	Central Garden & Pet Company	2.29B	34.84	0.93%	3.32B
620	ICUI	ICU Medical, Inc.	2.29B	94.94	-0.87%	2.26B
621	CENT	Central Garden & Pet Company	2.29B	40.14	0.39%	3.32B
622	GTX	Garrett Motion Inc.	2.28B	9.56	2.25%	3.89B
623	WERN	Werner Enterprises, Inc.	2.27B	35.78	-0.22%	3.28B
624	IART	Integra LifeSciences Holdings Corporation	2.27B	29.04	1.26%	1.54B
625	DNUT	Krispy Kreme, Inc.	2.25B	13.34	-2.20%	1.69B
626	LFST	LifeStance Health Group, Inc.	2.25B	5.91	3.50%	1.06B
627	PSEC	Prospect Capital Corporation	2.25B	5.42	0.09%	883.81M
628	FA	First Advantage Corporation	2.24B	15.46	0.91%	763.76M
629	INTA	Intapp, Inc.	2.24B	30.48	-0.91%	392.15M
630	LAUR	Laureate Education, Inc.	2.23B	14.15	0.78%	1.48B
631	LZ	LegalZoom.com, Inc.	2.22B	11.82	0.72%	660.73M
632	NARI	Inari Medical, Inc.	2.22B	38.23	-0.93%	493.63M
633	PRGS	Progress Software Corporation	2.21B	51.09	1.35%	714.90M
634	ROCK	Gibraltar Industries, Inc.	2.20B	72.08	1.07%	1.38B
635	LGIH	LGI Homes, Inc.	2.20B	93.37	-0.01%	2.36B
636	DNLI	Denali Therapeutics Inc.	2.20B	15.83	-1.06%	330.53M
637	RUN	Sunrun Inc.	2.19B	9.93	-3.17%	2.26B
638	GERN	Geron Corporation	2.19B	3.73	0.95%	237.00K
639	PLAY	Dave & Buster's Entertainment, Inc.	2.18B	54.13	0.79%	2.21B
640	SNEX	StoneX Group Inc.	2.16B	68.22	2.08%	67.42B
641	PPBI	Pacific Premier Bancorp, Inc.	2.16B	22.55	1.26%	440.99M
642	VCEL	Vericel Corporation	2.16B	44.94	2.73%	197.52M
643	VERA	Vera Therapeutics, Inc.	2.16B	39.23	3.22%	-
644	RCKT	Rocket Pharmaceuticals, Inc.	2.16B	23.84	4.56%	-
645	TGTX	TG Therapeutics, Inc.	2.15B	13.95	1.23%	233.66M
646	INDB	Independent Bank Corp.	2.15B	50.75	0.37%	707.88M
647	PRVA	Privia Health Group, Inc.	2.15B	18.09	0.06%	1.66B
648	AY	Atlantica Sustainable Infrastructure plc	2.15B	18.44	0.27%	1.10B
649	CLBT	Cellebrite DI Ltd.	2.13B	10.38	-0.86%	325.11M
650	KYMR	Kymera Therapeutics, Inc.	2.12B	34.72	2.21%	78.59M
651	PAX	Patria Investments Limited	2.12B	14.07	2.29%	307.16M
652	RNW	ReNew Energy Global Plc	2.12B	5.67	0.35%	1.18B
653	HEES	H&E Equipment Services, Inc.	2.11B	57.96	-0.57%	1.47B
654	FFBC	First Financial Bancorp.	2.11B	22.19	1.37%	797.09M
655	SONO	Sonos, Inc.	2.11B	17.04	0.77%	1.60B
656	INTR	Inter & Co, Inc.	2.10B	5.21	-0.10%	975.89M
657	PLUS	ePlus inc.	2.09B	77.54	2.88%	2.16B
658	NTLA	Intellia Therapeutics, Inc.	2.09B	21.66	0.42%	36.28M
659	KROS	Keros Therapeutics, Inc.	2.08B	57.82	-0.80%	151.00K
660	GH	Guardant Health, Inc.	2.08B	17.16	6.78%	563.95M
661	PZZA	Papa John's International, Inc.	2.07B	63.21	1.14%	2.14B
662	XRX	Xerox Holdings Corporation	2.07B	16.64	1.22%	6.89B
663	SMTC	Semtech Corporation	2.07B	32.27	3.93%	868.76M
664	NWTN	NWTN Inc.	2.04B	7.17	2.14%	583.00K
665	FRME	First Merchants Corporation	2.03B	34.23	0.47%	647.50M
666	ANDE	The Andersons, Inc.	2.03B	59.72	2.56%	14.75B
667	DYN	Dyne Therapeutics, Inc.	2.03B	24.96	4.61%	-
668	TNDM	Tandem Diabetes Care, Inc.	2.02B	31.28	2.79%	747.72M
669	PTCT	PTC Therapeutics, Inc.	2.00B	26.08	3.00%	937.82M
670	PLMR	Palomar Holdings, Inc.	1.99B	80.28	1.34%	375.93M
671	YY	JOYY Inc.	1.99B	32.61	1.18%	2.27B
672	TOWN	TowneBank	1.98B	27.25	0.91%	770.52M
673	AMPH	Amphastar Pharmaceuticals, Inc.	1.98B	40.48	1.17%	644.40M
674	SBCF	Seacoast Banking Corporation of Florida	1.97B	23.18	1.71%	529.87M
675	CRTO	Criteo S.A.	1.95B	34.99	-1.21%	1.95B
676	HPK	HighPeak Energy, Inc.	1.94B	15.16	-2.26%	1.11B
677	VSAT	Viasat, Inc.	1.94B	15.50	-2.08%	3.80B
678	ARHS	Arhaus, Inc.	1.94B	13.83	-	1.29B
679	RNA	Avidity Biosciences, Inc.	1.94B	24.21	6.51%	9.56M
680	GLPG	Galapagos NV	1.93B	29.35	0.93%	266.36M
681	BEAM	Beam Therapeutics Inc.	1.93B	23.65	-1.05%	377.71M
682	RXST	RxSight, Inc.	1.93B	52.00	0.81%	89.08M
683	ODD	Oddity Tech Ltd.	1.92B	33.73	0.75%	508.69M
684	UPST	Upstart Holdings, Inc.	1.89B	21.87	-	513.56M
685	VIRT	Virtu Financial, Inc.	1.89B	21.14	0.36%	2.29B
686	NAVI	Navient Corporation	1.88B	16.63	2.59%	1.15B
687	VECO	Veeco Instruments Inc.	1.86B	32.86	0.86%	666.44M
688	ENLT	Enlight Renewable Energy Ltd	1.86B	16.65	1.40%	255.70M
689	WB	Weibo Corporation	1.85B	7.91	0.13%	1.76B
690	PAYO	Payoneer Global Inc.	1.84B	4.94	0.92%	831.10M
691	ODP	The ODP Corporation	1.84B	50.26	-0.05%	7.83B
692	HLMN	Hillman Solutions Corp.	1.84B	9.42	0.59%	1.48B
693	MLKN	MillerKnoll, Inc.	1.83B	25.58	1.81%	3.70B
694	VRNT	Verint Systems Inc.	1.83B	29.31	0.58%	910.39M
695	BTSG	BrightSpring Health Services, Inc.	1.82B	10.62	1.05%	8.83B
696	HTZ	Hertz Global Holdings, Inc.	1.81B	5.91	-1.09%	9.37B
697	FUSN	Fusion Pharmaceuticals Inc.	1.81B	21.31	0.24%	2.07M
698	NAMS	NewAmsterdam Pharma Company N.V.	1.81B	20.32	1.96%	15.66M
699	ASTH	Astrana Health, Inc.	1.80B	37.44	0.59%	1.39B
700	TBBK	The Bancorp, Inc.	1.80B	34.42	1.41%	447.82M
701	CPRX	Catalyst Pharmaceuticals, Inc.	1.79B	15.12	-0.10%	398.20M
702	VIAV	Viavi Solutions Inc.	1.78B	7.99	-0.99%	1.01B
703	BRP	BRP Group, Inc.	1.78B	27.47	-0.43%	1.22B
704	SNDX	Syndax Pharmaceuticals, Inc.	1.78B	20.92	0.58%	-
705	GCMG	GCM Grosvenor Inc	1.77B	9.43	-0.11%	445.00M
706	MGPI	MGP Ingredients, Inc.	1.77B	80.23	0.60%	836.52M
707	SDGR	Schrödinger, Inc.	1.77B	24.52	0.93%	216.67M
708	ARRY	Array Technologies, Inc.	1.76B	11.62	3.06%	1.58B
709	IBTX	Independent Bank Group, Inc.	1.76B	42.73	2.72%	503.86M
710	CLBK	Columbia Financial, Inc.	1.76B	16.76	0.30%	228.47M
711	CAKE	The Cheesecake Factory Incorporated	1.74B	34.01	0.01%	3.44B
712	RKLB	Rocket Lab USA, Inc.	1.74B	3.54	-0.28%	244.59M
713	ATEC	Alphatec Holdings, Inc.	1.73B	12.50	-0.36%	482.26M
714	HURN	Huron Consulting Group Inc.	1.73B	93.64	1.43%	1.40B
715	UCTT	Ultra Clean Holdings, Inc.	1.73B	38.65	-0.87%	1.73B
716	PLUG	Plug Power Inc.	1.72B	2.50	-2.92%	891.34M
717	NEO	NeoGenomics, Inc.	1.72B	13.47	-0.44%	591.64M
718	USLM	United States Lime & Minerals, Inc.	1.71B	301.91	1.74%	281.33M
719	GPCR	Structure Therapeutics Inc.	1.71B	36.65	0.80%	-
720	MBIN	Merchants Bancorp	1.71B	39.66	1.30%	522.51M
721	WSBC	WesBanco, Inc.	1.71B	28.81	1.64%	584.05M
722	SPNS	Sapiens International Corporation N.V.	1.70B	30.51	1.56%	514.58M
723	UPBD	Upbound Group, Inc.	1.70B	31.20	1.07%	3.99B
724	FOXF	Fox Factory Holding Corp.	1.70B	40.37	-0.30%	1.46B
725	SANA	Sana Biotechnology, Inc.	1.69B	7.68	0.92%	-
726	NWLI	National Western Life Group, Inc.	1.68B	489.20	0.35%	703.35M
727	AMBA	Ambarella, Inc.	1.68B	41.01	0.05%	226.47M
728	HRMY	Harmony Biosciences Holdings, Inc.	1.67B	29.46	0.20%	582.02M
729	EVCM	EverCommerce Inc.	1.67B	8.96	1.47%	675.37M
